fecha_documento,monto,moneda,glosa,centro_costo,referencia,cuenta_contable
2026-02-16,1084147.0,CLP,Transferencia interna - Gastos de Venta,CC-003,DOC-002603,5103
2026-05-21,2684758.0,CLP,Cobro cliente - Costo de Ventas,CC-003,DOC-001226,5101
2026-07-27,995399.0,CLP,Nota de credito - Proveedores,CC-003,DOC-000296,2101
2025-10-19,-2568041.0,CLP,Pago a proveedor - Prestamos Bancarios,CC-005,DOC-001241,2201
2026-05-27,-140130.0,CLP,Pago de servicios - Impuestos por Pagar,CC-001,DOC-001005,2102
2026-06-26,2850008.0,USD,Devolucion - Bancos,CC-008,DOC-001665,1102
2026-06-16,-1252483.0,CLP,Nota de debito - Impuestos por Pagar,CC-004,DOC-000746,2102
2026-08-06,74046.0,CLP,Provision mensual - Proveedores,CC-008,DOC-002851,2101
2026-07-05,966897.0,CLP,Nota de debito - Gastos Administrativos,CC-002,DOC-000291,5102
2026-05-29,-1783448.0,CLP,Nota de credito - Prestamos Bancarios,CC-001,DOC-000781,2201
2026-07-08,2633954.0,CLP,Transferencia interna - Bancos,CC-007,DOC-002144,1102
2026-04-10,-1672371.0,CLP,Nota de credito - Prestamos Bancarios,CC-003,DOC-000322,2201
2026-07-30,-1205496.0,CLP,Ajuste contable - Prestamos Bancarios,CC-008,DOC-000298,2201
2026-06-30,54808.0,CLP,Pago a proveedor - Caja,CC-006,DOC-001298,1101
2026-06-28,-668608.0,CLP,Cobro cliente - Prestamos Bancarios,CC-002,DOC-000194,2201
2026-08-10,-915105.0,CLP,Nota de debito - Prestamos Bancarios,CC-006,DOC-000063,2201
2026-01-19,879809.0,CLP,Regularizacion - Costo de Ventas,CC-005,DOC-000393,5101
2026-06-01,466624.0,CLP,Pago de servicios - Ventas,CC-002,DOC-000727,4101
2026-07-11,-2525954.0,CLP,Anticipo - Capital,CC-008,DOC-001583,3101
2026-07-15,1046161.0,CLP,Anticipo - Inventario,CC-005,DOC-001547,1301
2025-08-31,1324745.0,CLP,Pago a proveedor - Proveedores,CC-008,DOC-002425,2101
2026-07-24,-1531031.0,CLP,Pago a proveedor - Impuestos por Pagar,CC-002,DOC-000014,2102
2026-01-04,2004791.0,CLP,Pago de servicios - Costo de Ventas,CC-003,DOC-002567,5101
2026-06-15,2038153.0,CLP,Nota de credito - Inventario,CC-003,DOC-001600,1301
2026-06-12,448756.0,CLP,Cobro cliente - Bancos,CC-003,DOC-001090,1102
2026-08-05,2621195.0,CLP,Nomina - Caja,CC-008,DOC-002111,1101
2026-06-28,2947245.0,CLP,Devolucion - Caja,CC-003,DOC-000203,1101
2026-07-02,2550042.0,CLP,Pago a proveedor - Costo de Ventas,CC-001,DOC-002418,5101
2026-07-23,-2263684.0,CLP,Devolucion - Capital,CC-007,DOC-000152,3101
2026-07-30,2938083.0,CLP,Transferencia interna - Bancos,CC-001,DOC-002901,1102
2026-02-03,-2733105.0,CLP,Nota de credito - Prestamos Bancarios,CC-007,DOC-001359,2201
2026-07-21,955901.0,CLP,Nota de credito - Gastos Administrativos,CC-002,DOC-000772,5102
2026-03-28,402440.0,CLP,Nota de debito - Clientes,CC-006,DOC-002678,1201
2026-02-10,-1672216.0,CLP,Compra de mercaderia - Capital,CC-003,DOC-001001,3101
2026-06-24,-2313537.0,CLP,Devolucion - Gastos de Venta,CC-006,DOC-000718,5103
2026-05-31,428415.0,CLP,Anticipo - Caja,CC-007,DOC-000612,1101
2026-06-14,1596111.0,CLP,Anticipo - Clientes,CC-008,DOC-000842,1201
2026-06-21,1518806.0,USD,Provision mensual - Caja,CC-006,DOC-000266,1101
2026-06-19,-2921642.0,CLP,Provision mensual - Impuestos por Pagar,CC-003,DOC-000051,2102
2026-05-23,-643350.0,CLP,Pago de servicios - Gastos de Venta,CC-007,DOC-001195,5103
2026-06-25,-1197742.0,CLP,Transferencia interna - Capital,CC-007,DOC-001270,3101
2026-08-04,2404988.0,CLP,Ajuste contable - Costo de Ventas,CC-007,DOC-001491,5101
2026-06-15,1175188.0,USD,Compra de mercaderia - Caja,CC-007,DOC-001582,1101
2026-06-13,-759736.0,CLP,Devolucion - Prestamos Bancarios,CC-007,DOC-000521,2201
2025-10-29,-275307.0,USD,Nota de debito - Gastos de Venta,CC-002,DOC-001694,5103
2026-07-11,2693735.0,CLP,Provision mensual - Proveedores,CC-002,DOC-002663,2101
2026-08-10,-546893.0,USD,Cobro cliente - Gastos de Venta,CC-003,DOC-002748,5103
2026-08-05,-1147598.0,CLP,Transferencia interna - Proveedores,CC-007,DOC-001921,2101
2026-07-19,910291.0,CLP,Pago a proveedor - Proveedores,CC-001,DOC-000102,2101
2026-06-22,931565.0,CLP,Compra de mercaderia - Bancos,CC-008,DOC-000695,1102
2026-05-14,194488.0,USD,Transferencia interna - Gastos Administrativos,CC-007,DOC-002332,5102
2025-10-22,867098.0,CLP,Provision mensual - Caja,CC-005,DOC-002724,1101
2026-07-30,1062954.0,CLP,Provision mensual - Bancos,CC-005,DOC-002272,1102
2026-06-11,-1686649.0,CLP,Nota de debito - Gastos de Venta,CC-008,DOC-002482,5103
2026-05-24,2267851.0,USD,Compra de mercaderia - Costo de Ventas,CC-007,DOC-001842,5101
2026-06-09,-1946888.0,CLP,Transferencia interna - Ventas,CC-007,DOC-001830,4101
2026-07-11,654537.0,CLP,Transferencia interna - Costo de Ventas,CC-007,DOC-000794,5101
2026-07-28,-442221.0,CLP,Anticipo - Prestamos Bancarios,CC-002,DOC-001820,2201
2026-06-01,2892709.0,CLP,Nomina - Ventas,CC-001,DOC-002001,4101
2026-07-16,-2998124.0,CLP,Cobro cliente - Capital,CC-004,DOC-000144,3101
2025-12-07,600524.0,CLP,Nota de credito - Gastos Administrativos,CC-004,DOC-002525,5102
2026-05-29,1441098.0,CLP,Cobro cliente - Caja,CC-003,DOC-001330,1101
2026-06-13,327030.0,CLP,Provision mensual - Bancos,CC-002,DOC-002477,1102
2026-08-03,469721.0,CLP,Nota de debito - Inventario,CC-006,DOC-002881,1301
2026-05-16,2456056.0,CLP,Ajuste contable - Costo de Ventas,CC-004,DOC-000321,5101
2026-05-20,118531.0,USD,Anticipo - Clientes,CC-008,DOC-001261,1201
2026-07-30,-2351885.0,CLP,Nomina - Prestamos Bancarios,CC-006,DOC-002414,2201
2026-07-05,1731383.0,USD,Provision mensual - Costo de Ventas,CC-005,DOC-001269,5101
2026-07-10,-761461.0,CLP,Devolucion - Gastos de Venta,CC-007,DOC-001760,5103
2026-07-03,415702.0,CLP,Nota de debito - Bancos,CC-003,DOC-000416,1102
2026-05-31,-387917.0,CLP,Ajuste contable - Capital,CC-006,DOC-002631,3101
2026-08-05,1410323.0,CLP,Regularizacion - Bancos,CC-002,DOC-002291,1102
2025-09-21,-1199197.0,CLP,Pago de servicios - Prestamos Bancarios,CC-007,DOC-000174,2201
2026-05-27,-1816302.0,USD,Nota de credito - Impuestos por Pagar,CC-008,DOC-001725,2102
2026-07-05,1292259.0,CLP,Anticipo - Costo de Ventas,CC-005,DOC-002175,5101
2026-06-01,470566.0,CLP,Provision mensual - Bancos,CC-006,DOC-000045,1102
2026-05-31,-1674687.0,CLP,Nomina - Proveedores,CC-002,DOC-000685,2101
2026-07-09,1174327.0,CLP,Ajuste contable - Proveedores,CC-005,DOC-001607,2101
2026-05-12,1996054.0,CLP,Compra de mercaderia - Proveedores,CC-004,DOC-001231,2101
2026-07-19,787452.0,CLP,Transferencia interna - Gastos Administrativos,CC-003,DOC-000862,5102
2026-07-29,-1573982.0,CLP,Anticipo - Impuestos por Pagar,CC-001,DOC-001965,2102
2026-05-12,617517.0,USD,Regularizacion - Inventario,CC-006,DOC-000331,1301
2026-06-12,-1711700.0,CLP,Pago de servicios - Capital,CC-001,DOC-000093,3101
2026-07-06,-782325.0,CLP,Provision mensual - Capital,CC-003,DOC-001641,3101
2025-11-30,1725703.0,CLP,Pago de servicios - Bancos,CC-003,DOC-000944,1102
2026-05-29,-1828842.0,CLP,Compra de mercaderia - Prestamos Bancarios,CC-007,DOC-000506,2201
2026-08-10,2078606.0,CLP,Provision mensual - Inventario,CC-005,DOC-002909,1301
2026-06-22,964613.0,CLP,Transferencia interna - Caja,CC-004,DOC-002045,1101
2025-09-28,-1397849.0,CLP,Compra de mercaderia - Capital,CC-001,DOC-000495,3101
2026-06-09,2278353.0,CLP,Compra de mercaderia - Caja,CC-002,DOC-002132,1101
2026-07-06,738451.0,CLP,Cobro cliente - Gastos Administrativos,CC-002,DOC-000000,5102
2026-06-21,1588883.0,CLP,Provision mensual - Clientes,CC-001,DOC-000314,1201
2026-07-03,-1787574.0,CLP,Nota de credito - Prestamos Bancarios,CC-003,DOC-001272,2201
2026-05-28,935030.0,CLP,Devolucion - Caja,CC-005,DOC-001941,1101
2026-06-12,447492.0,CLP,Compra de mercaderia - Ventas,CC-007,DOC-001020,4101
2026-06-08,878028.0,USD,Pago a proveedor - Gastos Administrativos,CC-006,DOC-001316,5102
2026-06-27,-1850582.0,CLP,Ajuste contable - Proveedores,CC-008,DOC-000755,2101
2026-08-01,1043867.0,CLP,Anticipo - Costo de Ventas,CC-001,DOC-001770,5101
2026-07-24,1139874.0,CLP,Cobro cliente - Caja,CC-006,DOC-001200,1101
2026-07-15,-124612.0,CLP,Cobro cliente - Gastos de Venta,CC-006,DOC-002174,5103
2026-07-27,480977.0,CLP,Cobro cliente - Bancos,CC-003,DOC-001991,1102
2026-07-16,-1832854.0,CLP,Transferencia interna - Capital,CC-002,DOC-000879,3101
,-124058.0,CLP,Transferencia interna - Ventas,CC-007,DOC-000765,4101
2026-05-13,-2838556.0,CLP,Nota de debito - Prestamos Bancarios,CC-004,DOC-000927,2201
2026-08-06,2171466.0,USD,Nota de debito - Caja,CC-008,DOC-002377,1101
2026-05-15,-2144391.0,CLP,Nota de debito - Capital,CC-007,DOC-001374,3101
2026-07-10,2052595.0,CLP,Provision mensual - Costo de Ventas,CC-003,DOC-001814,5101
2026-07-20,2020593.0,CLP,Pago a proveedor - Inventario,CC-002,DOC-001798,1301
2026-06-25,1398732.0,CLP,Pago de servicios - Caja,CC-003,DOC-000929,1101
2026-03-20,2683334.0,CLP,Cobro cliente - Clientes,CC-004,DOC-000436,1201
2026-07-16,524630.0,CLP,Nota de debito - Bancos,CC-002,DOC-000196,1102
2026-06-20,1781263.0,CLP,Compra de mercaderia - Proveedores,CC-004,DOC-001762,2101
2026-07-23,-375344.0,CLP,Compra de mercaderia - Capital,CC-003,DOC-001064,3101
2026-07-31,1020640.0,CLP,Compra de mercaderia - Inventario,CC-005,DOC-002342,1301
2026-07-22,351101.0,CLP,Devolucion - Caja,CC-008,DOC-002528,1101
2026-07-02,-496656.0,CLP,Nomina - Prestamos Bancarios,CC-003,DOC-001268,2201
2026-05-20,1767936.0,CLP,Provision mensual - Bancos,CC-002,DOC-002323,1102
2026-07-23,770901.0,CLP,Devolucion - Bancos,CC-003,DOC-002779,1102
2026-06-04,471017.0,CLP,Nota de credito - Gastos Administrativos,CC-005,DOC-002225,5102
2026-06-21,2103673.0,CLP,Compra de mercaderia - Proveedores,CC-004,DOC-000450,2101
,2010705.0,CLP,Nota de debito - Proveedores,CC-003,DOC-002164,2101
2026-08-03,2979412.0,CLP,Provision mensual - Proveedores,CC-004,DOC-002372,2101
2026-07-17,1707318.0,USD,Nota de credito - Inventario,CC-006,DOC-002012,1301
2026-06-14,2294390.0,CLP,Anticipo - Bancos,CC-002,DOC-000270,1102
2026-07-29,1629395.0,CLP,Transferencia interna - Bancos,CC-005,DOC-001840,1102
2026-05-30,2318594.0,CLP,Transferencia interna - Ventas,CC-008,DOC-002934,4101
2026-08-03,1409902.0,USD,Pago a proveedor - Gastos Administrativos,CC-002,DOC-000978,5102
2026-07-26,2175155.0,CLP,Devolucion - Costo de Ventas,CC-004,DOC-002166,5101
2026-05-24,-2864801.0,CLP,Nota de debito - Impuestos por Pagar,CC-006,DOC-000354,2102
2026-08-02,985746.0,CLP,Provision mensual - Clientes,CC-004,DOC-001876,1201
2026-06-24,-938354.0,CLP,Anticipo - Capital,CC-002,DOC-000184,3101
2026-05-27,2314343.0,CLP,Nomina - Clientes,CC-001,DOC-002744,1201
2026-04-20,316663.0,CLP,Provision mensual - Clientes,CC-006,DOC-001614,1201
2026-08-03,759626.0,CLP,Transferencia interna - Gastos Administrativos,CC-005,DOC-002759,5102
2026-08-07,-1195059.0,CLP,Pago de servicios - Capital,CC-008,DOC-001706,3101
2026-07-22,-2622482.0,CLP,Regularizacion - Gastos de Venta,CC-002,DOC-001861,5103
2026-06-14,522106.0,CLP,Cobro cliente - Clientes,CC-006,DOC-000246,1201
2026-05-16,941558.0,CLP,Nota de debito - Proveedores,CC-001,DOC-000555,2101
2026-06-26,1738195.0,CLP,Transferencia interna - Proveedores,CC-003,DOC-001752,2101
2026-07-04,797929.0,CLP,Nomina - Proveedores,CC-004,DOC-001364,2101
2026-05-22,-1729134.0,CLP,Nomina - Capital,CC-008,DOC-000067,3101
2026-05-29,906893.0,CLP,Regularizacion - Costo de Ventas,CC-005,DOC-002618,5101
2026-08-01,-2925513.0,CLP,Transferencia interna - Impuestos por Pagar,CC-005,DOC-002284,2102
2026-07-26,1414257.0,CLP,Anticipo - Costo de Ventas,CC-002,DOC-000532,5101
2026-07-31,-222075.0,USD,Regularizacion - Prestamos Bancarios,CC-006,DOC-002873,2201
2026-08-02,1407475.0,CLP,Nota de debito - Inventario,CC-006,DOC-002705,1301
2026-05-21,-2725366.0,CLP,Ajuste contable - Prestamos Bancarios,CC-005,DOC-001502,2201
2026-05-13,1855805.0,CLP,Devolucion - Caja,CC-001,DOC-000761,1101
2026-05-14,2918572.0,CLP,Nota de credito - Costo de Ventas,CC-002,DOC-002752,5101
2026-06-28,-1281177.0,CLP,Nomina - Capital,CC-006,DOC-001211,3101
2026-06-14,-1079462.0,CLP,Nota de credito - Gastos de Venta,CC-007,DOC-002243,5103
2026-08-05,-1815845.0,CLP,Compra de mercaderia - Proveedores,CC-001,DOC-001793,2101
2026-02-08,2337929.0,CLP,Devolucion - Clientes,CC-003,DOC-000535,1201
2026-05-13,-262855.0,USD,Cobro cliente - Capital,CC-002,DOC-001746,3101
2026-07-10,1943599.0,CLP,Regularizacion - Costo de Ventas,CC-008,DOC-000463,5101
2026-05-30,-1366140.0,CLP,Nota de credito - Capital,CC-004,DOC-002677,3101
2026-08-04,959981.0,CLP,Cobro cliente - Ventas,CC-008,DOC-001839,4101
2026-06-10,2172020.0,CLP,Anticipo - Clientes,CC-005,DOC-002862,1201
2025-10-15,-284162.0,USD,Transferencia interna - Ventas,CC-002,DOC-000124,4101
2026-07-05,-1803228.0,CLP,Provision mensual - Gastos de Venta,CC-003,DOC-000178,5103
2026-07-04,-349944.0,CLP,Nota de debito - Gastos de Venta,CC-008,DOC-000192,5103
2026-07-23,853921.0,CLP,Nota de debito - Bancos,CC-001,DOC-002307,1102
2026-05-14,2434820.0,CLP,Pago de servicios - Ventas,CC-001,DOC-001429,4101
2026-06-17,-1199045.0,USD,Compra de mercaderia - Prestamos Bancarios,CC-008,DOC-001691,2201
2025-12-21,-2757741.0,CLP,Anticipo - Impuestos por Pagar,CC-003,DOC-000741,2102
2026-08-04,2073594.0,CLP,Regularizacion - Gastos de Venta,CC-007,DOC-001034,5103
2026-06-24,290994.0,USD,Pago a proveedor - Ventas,CC-001,DOC-001966,4101
2026-05-31,2082213.0,USD,Nota de debito - Clientes,CC-006,DOC-000478,1201
2026-07-30,-1193701.0,CLP,Ajuste contable - Impuestos por Pagar,CC-004,DOC-001027,2102
2026-06-11,2160545.0,CLP,Pago de servicios - Bancos,CC-003,DOC-002601,1102
2026-06-09,2903450.0,CLP,Compra de mercaderia - Gastos de Venta,CC-007,DOC-000368,5103
2026-06-27,2506376.0,CLP,Provision mensual - Bancos,CC-002,DOC-002523,1102
2026-08-03,1110823.0,CLP,Pago a proveedor - Clientes,CC-001,DOC-000845,1201
2026-07-22,517746.0,CLP,Anticipo - Costo de Ventas,CC-006,DOC-000256,5101
2025-11-11,-1022768.0,CLP,Nomina - Gastos de Venta,CC-005,DOC-001222,5103
2026-07-09,2866175.0,CLP,Compra de mercaderia - Ventas,CC-005,DOC-001992,4101
2026-06-09,-580056.0,USD,Ajuste contable - Impuestos por Pagar,CC-002,DOC-000211,2102
2025-10-19,-662574.0,CLP,Compra de mercaderia - Gastos de Venta,CC-001,DOC-002689,5103
2026-07-11,-963863.0,CLP,Nota de credito - Prestamos Bancarios,CC-003,DOC-001949,2201
2026-03-04,1543485.0,USD,Nomina - Clientes,CC-008,DOC-001362,1201
2026-06-02,2576785.0,CLP,Regularizacion - Ventas,CC-003,DOC-002151,4101
2026-07-13,2484787.0,CLP,Nota de debito - Gastos Administrativos,CC-007,DOC-002153,5102
2026-05-20,-1139020.0,CLP,Transferencia interna - Ventas,CC-008,DOC-000567,4101
2026-04-29,-947063.0,CLP,Pago a proveedor - Prestamos Bancarios,CC-004,DOC-002206,2201
2026-07-08,1180934.0,CLP,Transferencia interna - Inventario,CC-001,DOC-002093,1301
2026-05-26,-1222570.0,CLP,Nota de credito - Impuestos por Pagar,CC-004,DOC-001710,2102
2026-08-07,690885.0,CLP,Pago de servicios - Gastos Administrativos,CC-004,DOC-001263,5102
2026-07-28,-681315.0,CLP,Nota de credito - Gastos de Venta,CC-004,DOC-002123,5103
2026-05-13,1786932.0,CLP,Ajuste contable - Costo de Ventas,CC-008,DOC-000798,5101
2026-07-24,2601220.0,CLP,Compra de mercaderia - Bancos,CC-007,DOC-000080,1102
2026-06-02,2508903.0,USD,Nota de debito - Caja,CC-004,DOC-000032,1101
2026-05-15,1337975.0,CLP,Pago de servicios - Costo de Ventas,CC-002,DOC-000414,5101
2026-07-14,1257449.0,CLP,Pago de servicios - Ventas,CC-002,DOC-001804,4101
2026-07-02,-2766346.0,CLP,Cobro cliente - Impuestos por Pagar,CC-003,DOC-002213,2102
2025-07-18,2598237.0,CLP,Nota de credito - Clientes,CC-005,DOC-001321,1201
2026-07-23,2987763.0,CLP,Anticipo - Bancos,CC-002,DOC-001567,1102
2025-10-25,-1550799.0,CLP,Compra de mercaderia - Gastos de Venta,CC-008,DOC-000783,5103
2026-08-06,2171466.0,USD,Nota de debito - Caja,CC-008,DOC-002377,1101
2026-03-30,806631.0,USD,Anticipo - Clientes,CC-001,DOC-001412,1201
2026-04-10,2491965.0,USD,Ajuste contable - Clientes,CC-004,DOC-000457,1201
2026-07-04,-1078598.0,CLP,Provision mensual - Impuestos por Pagar,CC-007,DOC-000139,2102
2026-06-18,-1701886.0,CLP,Provision mensual - Prestamos Bancarios,CC-003,DOC-002230,2201
2026-05-20,2558300.0,USD,Transferencia interna - Gastos Administrativos,CC-001,DOC-001025,5102
2026-07-03,2551628.0,CLP,Cobro cliente - Bancos,CC-001,DOC-000088,1102
2026-05-25,2525930.0,CLP,Pago de servicios - Gastos de Venta,CC-007,DOC-001442,5103
2026-08-02,1030389.0,CLP,Provision mensual - Caja,CC-003,DOC-001831,1101
,271623.0,CLP,Devolucion - Ventas,CC-001,DOC-002576,4101
2026-01-16,1041339.0,USD,Compra de mercaderia - Clientes,CC-002,DOC-000254,1201
2026-08-07,-1380380.0,CLP,Pago a proveedor - Gastos de Venta,CC-003,DOC-000605,5103
2026-06-30,2399588.0,CLP,Nomina - Clientes,CC-006,DOC-001044,1201
2026-06-14,951604.0,USD,Nota de credito - Bancos,CC-001,DOC-000568,1102
2026-08-07,2599085.0,CLP,Nota de debito - Gastos Administrativos,CC-006,DOC-001732,5102
2026-06-10,2790905.0,CLP,Pago de servicios - Caja,CC-003,DOC-002542,1101
2026-06-11,-1724026.0,CLP,Pago de servicios - Capital,CC-005,DOC-000857,3101
2026-06-09,1559210.0,USD,Regularizacion - Caja,CC-006,DOC-002472,1101
2026-07-03,-652339.0,CLP,Cobro cliente - Capital,CC-006,DOC-000817,3101
2026-05-21,965492.0,CLP,Nota de debito - Gastos Administrativos,CC-002,DOC-002030,5102
2026-06-17,2973056.0,CLP,Provision mensual - Inventario,CC-006,DOC-001877,1301
2026-07-23,-700404.0,CLP,Transferencia interna - Capital,CC-005,DOC-000141,3101
2026-06-08,-2993372.0,CLP,Nota de credito - Capital,CC-004,DOC-000443,3101
2026-08-05,-2651988.0,CLP,Compra de mercaderia - Impuestos por Pagar,CC-007,DOC-001174,2102
2026-08-06,888251.0,CLP,Cobro cliente - Clientes,CC-002,DOC-000486,1201
2026-04-05,1716177.0,CLP,Transferencia interna - Bancos,CC-001,DOC-000881,1102
2026-08-02,2386335.0,CLP,Anticipo - Gastos Administrativos,CC-008,DOC-002564,5102
2026-05-25,781656.0,CLP,Nomina - Inventario,CC-001,DOC-001084,1301
2026-05-25,1456186.0,CLP,Nota de debito - Gastos Administrativos,CC-002,DOC-001299,5102
2026-06-24,-2861010.0,CLP,Transferencia interna - Impuestos por Pagar,CC-002,DOC-000175,2102
2026-06-06,-1775163.0,CLP,Devolucion - Capital,CC-008,DOC-001094,3101
2026-05-20,-426843.0,CLP,Anticipo - Gastos de Venta,CC-004,DOC-002700,5103
2026-08-05,479826.0,CLP,Pago de servicios - Inventario,CC-001,DOC-002846,1301
2026-07-18,292111.0,CLP,Nota de credito - Clientes,CC-007,DOC-001963,1201
2026-06-12,1086815.0,CLP,Cobro cliente - Clientes,CC-008,DOC-002681,1201
2026-07-09,654334.0,CLP,Pago a proveedor - Costo de Ventas,CC-004,DOC-002097,5101
2026-07-13,-2247082.0,CLP,Anticipo - Capital,CC-007,DOC-002155,3101
2026-06-05,2186006.0,CLP,Nomina - Bancos,CC-004,DOC-001556,1102
2026-07-01,-2273114.0,CLP,Nota de credito - Proveedores,CC-004,DOC-001670,2101
2026-05-31,1687242.0,CLP,Devolucion - Ventas,CC-007,DOC-000177,
2026-07-31,2722087.0,CLP,Ajuste contable - Proveedores,CC-005,DOC-001078,2101
2026-07-14,-2851173.0,CLP,Transferencia interna - Impuestos por Pagar,CC-001,DOC-000598,2102
2025-07-16,1936802.0,CLP,Nota de debito - Clientes,CC-004,DOC-002190,1201
2026-06-14,412280.0,CLP,Nota de credito - Costo de Ventas,CC-008,DOC-002531,5101
2026-07-06,-2830658.0,USD,Anticipo - Impuestos por Pagar,CC-007,DOC-002667,2102
2025-12-26,-1112536.0,CLP,Nota de credito - Prestamos Bancarios,CC-007,DOC-002786,2201
2026-07-19,1138260.0,CLP,Compra de mercaderia - Inventario,CC-003,DOC-000479,1301
2026-08-07,-2401114.0,CLP,Pago de servicios - Impuestos por Pagar,CC-002,DOC-001967,2102
2026-05-31,128169.0,CLP,Ajuste contable - Clientes,CC-008,DOC-001057,1201
2026-07-15,2188840.0,CLP,Nota de debito - Clientes,CC-005,DOC-002268,1201
2026-06-07,-363849.0,CLP,Regularizacion - Capital,CC-005,DOC-000533,3101
2026-07-19,-2484706.0,CLP,Pago a proveedor - Impuestos por Pagar,CC-002,DOC-001103,2102
2026-06-15,2397966.0,CLP,Cobro cliente - Gastos de Venta,CC-002,DOC-001106,5103
2025-12-06,-2251479.0,CLP,Devolucion - Prestamos Bancarios,CC-001,DOC-002927,2201
2026-06-07,-1066648.0,CLP,Devolucion - Impuestos por Pagar,CC-002,DOC-001123,2102
2026-05-23,-2772774.0,CLP,Compra de mercaderia - Capital,CC-003,DOC-000942,3101
2026-07-14,-1926905.0,CLP,Pago a proveedor - Capital,CC-001,DOC-000162,3101
2026-08-09,1784045.0,USD,Anticipo - Clientes,CC-001,DOC-001551,1201
2026-06-24,-1540015.0,CLP,Ajuste contable - Gastos de Venta,CC-001,DOC-000965,5103
2026-05-13,1079555.0,CLP,Nota de credito - Inventario,CC-006,DOC-000471,1301
2026-06-27,-2970916.0,CLP,Anticipo - Prestamos Bancarios,CC-007,DOC-000844,2201
2026-06-08,2379231.0,CLP,Devolucion - Gastos Administrativos,CC-008,DOC-000998,5102
2026-07-06,1968104.0,CLP,Ajuste contable - Ventas,CC-005,DOC-001904,4101
2026-07-28,-749726.0,CLP,Transferencia interna - Prestamos Bancarios,CC-003,DOC-000030,2201
2026-07-08,-2449114.0,CLP,Compra de mercaderia - Gastos de Venta,CC-003,DOC-002890,5103
2026-07-11,1487189.0,CLP,Anticipo - Proveedores,CC-002,DOC-000423,2101
2026-06-19,2224130.0,CLP,Pago de servicios - Inventario,CC-001,DOC-000511,1301
2026-07-25,1877690.0,CLP,Provision mensual - Costo de Ventas,CC-003,DOC-002758,5101
2026-07-09,555392.0,CLP,Ajuste contable - Bancos,CC-003,DOC-002737,1102
2026-06-25,1348204.0,USD,Cobro cliente - Ventas,CC-008,DOC-001393,4101
2026-05-27,1481428.0,CLP,Nomina - Gastos Administrativos,CC-007,DOC-001586,5102
2026-05-20,2862444.0,CLP,Cobro cliente - Costo de Ventas,CC-004,DOC-001929,5101
2026-08-02,-1579854.0,CLP,Ajuste contable - Impuestos por Pagar,CC-002,DOC-002497,2102
2026-05-27,2690369.0,CLP,Transferencia interna - Caja,CC-002,DOC-000787,1101
2026-05-21,-510567.0,USD,Regularizacion - Capital,CC-003,DOC-002636,3101
2026-05-30,1790627.0,CLP,Nota de credito - Inventario,CC-008,DOC-002538,1301
2026-07-25,2105772.0,CLP,Pago de servicios - Proveedores,CC-004,DOC-000402,2101
